drug_name_clean,COUNTY,STATE,COUNTY_CODE,median_cost,num_prices
Adalimumab,Cedar,IA,16150,3497.4004,949
Adalimumab,Cedar,MO,26190,3568.0775,1039
Adalimumab,Cedar,NE,28130,3497.2695,864
Adalimumab,Ceiba,PR,40180,3520.6773,937
Adalimumab,Ceiba,NA,40180,3540.87005,160
Adalimumab,Centre,PA,39200,3497.2695,1816
Adalimumab,Cerro Gordo,IA,16160,3512.0317,883
Adalimumab,Chaffee,CO,06070,3662.0806,760
Adalimumab,Chalan Pago,NA,65060,3681.333,19
Adalimumab,Chambers,AL,01080,3497.2695,998
Adalimumab,Chambers,TX,45280,3476.9952,1288
Adalimumab,Champaign,IL,14090,3413.7463,781
Adalimumab,Champaign,OH,36100,3497.2695,2023
Adalimumab,Chariton,MO,26200,3570.95835,788
Adalimumab,Charles,MD,21080,3497.2695,789
Adalimumab,Charles City,VA,49180,3589.8119,1373
Adalimumab,Charles Mix,SD,43110,3488.726,795
Adalimumab,Charleston,SC,42090,3497.2695,1623
Adalimumab,Charlevoix,MI,23140,3482.4342,1120
Adalimumab,Charlotte,FL,10070,3497.2695,1589
Adalimumab,Charlotte,VA,49190,3597.1501,1229
Adalimumab,Charlottesville,VA,49191,3571.314,1161
Adalimumab,Charlton,GA,11210,3497.2695,1219
Adalimumab,Chase,KS,17080,3516.0055,828
Adalimumab,Chase,NE,28140,3407.7033,488
Adalimumab,Chatham,GA,11220,3497.2695,1727
Adalimumab,Chatham,NC,34180,3497.2695,1724
Adalimumab,Chattahoochee,GA,11230,3497.2695,1376
Adalimumab,Chattooga,GA,11240,3497.2695,1527
Adalimumab,Chautauqua,KS,17090,3571.3054,744
Adalimumab,Chautauqua,NY,33060,3534.1482,1401
Adalimumab,Chaves,NM,32020,3476.9952,812
